flag,input,baseline_jam,delta_jam,baseline_code,delta_code,compile_ok
--no-register-cache,polkadot-glutton-kusama_runtime-v2002002,6402647,1922421,4600277,1708819,1
--no-register-cache,polkadot-kusama_runtime-v2002002,22066440,7685311,17832758,6831387,1
--no-register-cache,polkadot-people-kusama_runtime-v2002002,13021874,4170794,10141578,3707373,1
--no-register-cache,polkadot-people-polkadot_runtime-v2002002,14291805,4664521,11226838,4146241,1
--no-register-cache,polkadot-polkadot_runtime-v2002002,20909440,7186007,16847956,6387562,1
--no-icmp-fusion,add,160,0,96,0,1
--no-icmp-fusion,fibonacci,221,4,144,3,1
--no-icmp-fusion,factorial,200,5,126,3,1
--no-icmp-fusion,is-prime,271,12,189,11,1
--no-icmp-fusion,regalloc-two-loops,561,7,438,6,1
--no-icmp-fusion,blake2b,3765,16,2486,14,1
--no-icmp-fusion,sha512,3511,29,2310,26,1
--no-icmp-fusion,u128-mul-bench,457,9,342,8,1
--no-icmp-fusion,u128-div-bench,765,18,606,16,1
--no-icmp-fusion,u128-div-bench-slow,771,18,607,16,1
--no-icmp-fusion,host-call-log,458,0,104,0,1
--no-icmp-fusion,memory-copy-word,2243,0,1935,0,1
--no-icmp-fusion,memory-copy-overlap,715,0,574,0,1
--no-icmp-fusion,aslan-fib,19831,438,12186,390,1
--no-icmp-fusion,aslan-ecalli,42350,874,27349,777,1
--no-icmp-fusion,aslan-debug,32365,544,23740,484,1
--no-icmp-fusion,anan-as-compiler,109283,1833,76239,1629,1
--no-icmp-fusion,polkadot-asset-hub-kusama_runtime-v2002002,30804229,978364,25381070,869657,1
--no-icmp-fusion,polkadot-asset-hub-polkadot_runtime-v2002002,29435038,928938,24209513,825723,1
--no-icmp-fusion,polkadot-bridge-hub-kusama_runtime-v2002002,13486226,427337,10536668,379855,1
--no-icmp-fusion,polkadot-bridge-hub-polkadot_runtime-v2002002,16129160,479024,12830602,425799,1
--no-icmp-fusion,polkadot-bulletin-polkadot_runtime-v2002002,12017852,380074,9295201,337844,1
--no-icmp-fusion,polkadot-collectives-polkadot_runtime-v2002002,15293994,480809,12084722,427386,1
--no-icmp-fusion,polkadot-coretime-kusama_runtime-v2002002,13011883,406368,10128873,361216,1
--no-icmp-fusion,polkadot-coretime-polkadot_runtime-v2002002,13009179,406450,10126518,361289,1
--no-icmp-fusion,polkadot-encointer-kusama_runtime-v2002002,15729251,487861,12485285,433654,1
--no-icmp-fusion,polkadot-glutton-kusama_runtime-v2002002,6402647,202646,4600277,180130,1
--no-icmp-fusion,polkadot-kusama_runtime-v2002002,22066440,734215,17832758,652635,1
--no-icmp-fusion,polkadot-people-kusama_runtime-v2002002,13021874,406417,10141578,361260,1
--no-icmp-fusion,polkadot-people-polkadot_runtime-v2002002,14291805,441742,11226838,392659,1
--no-icmp-fusion,polkadot-polkadot_runtime-v2002002,20909440,693146,16847956,616130,1
--no-shrink-wrap,add,160,0,96,0,1
--no-shrink-wrap,fibonacci,221,0,144,0,1
--no-shrink-wrap,factorial,200,0,126,0,1
--no-shrink-wrap,is-prime,271,0,189,0,1
--no-shrink-wrap,regalloc-two-loops,561,0,438,0,1
--no-shrink-wrap,blake2b,3765,2,2486,2,1
--no-shrink-wrap,sha512,3511,5,2310,4,1
--no-shrink-wrap,u128-mul-bench,457,2,342,2,1
--no-shrink-wrap,u128-div-bench,765,5,606,4,1
--no-shrink-wrap,u128-div-bench-slow,771,5,607,4,1
--no-shrink-wrap,host-call-log,458,0,104,0,1
--no-shrink-wrap,memory-copy-word,2243,0,1935,0,1
--no-shrink-wrap,memory-copy-overlap,715,0,574,0,1
--no-shrink-wrap,aslan-fib,19831,1,12186,1,1
--no-shrink-wrap,aslan-ecalli,42350,53,27349,47,1
--no-shrink-wrap,aslan-debug,32365,214,23740,190,1
--no-shrink-wrap,anan-as-compiler,109283,388,76239,345,1
